content,score,thumbsUpCount,at,userName,Sentiment
tetap bintang satu klaim voucher khusus goride bisa tunggu tengah malam malah error tidak laku untuk mobil bisa lebih banyak butuh motor bukan mobil buang buang waktu uang,1,39, 17/11/2024, Ariefyana Fuji Lestari,Negatif
driver kompeten tegur edukasi masalah tarif bukan urus langgan atur aplikasi usaha urus waktu lokasi jemput selalu jadi alas kalau mau jemput usah guna aplikasi gps chat selalu nonaktif edukasi driver kecewa,1,1, 23/11/2024, denia ratna,Negatif
agar driver lebih serius terima pesan akhir akhir sudah kali kali prank driver belum terima kasih atas saya keluh mana peta suka putar lebih jauh padahal tempat lebih dekat kualitas telepon tingkat,2,12, 17/11/2024, Sukma,Negatif
mau login akun daftar coba masuk email sama tulis email sudah daftar tekan tombol masuk bukan buat akun baru kok arti sistem masuk sama buat akun baru meski masuk email sama bisa coba email random baru bisa masuk akun login akun baru aneh,1,8, 17/11/2024, Donny Setiadi,Negatif
kata kalau langgan lebih murah kenapa langgan harga malah lebih mahal banding tidak langgan percuma langgan lebih mahal bagaimana saya sudah keluar uang tiga puluh ribu bagaimana saya butuh uang malah lebih mahal langgan tidak mohon cepat jawab,1,2, 18/11/2024, Echa 13,Negatif
ya memang sulit cari driver restoran driver pesan batal dari sistem sudah beberapa kali ini niat lapar mau pesan makan tunggu lama ada driver ambil buat mood makin buruk mungkin saran jika di sekitar restoran ada driver otomatis batal sistem kasihan tahan lapar sangat tunggu pasti ujung ujung tidak dapat driver terima kasih,4,5, 17/11/2024, cholis viki,Positif
aplikasi sangat buruk peta banyak tanda driver dekat lokasi jemput eh datang malah driver jauh sekali acara tarif tambah cari cepat driver padahal banyak sekitar tunggu lama driver datang lambat,1,123, 01/11/2024, yunus rio Pranatan,Negatif
makin lama aplikasi makin guna pesan goride gambar banyak sekali driver dekat eh datang jauh sekali jepang ongkir sekarang mahal sekali maaf kali saya pindah ke aplikasi tidak ribet,1,2, 18/11/2024, Ahmad Wadud,Negatif
mulai proses mesan antar luar biasa bagus belum rasa hambat utama proses masuk aplikasi cepat layan buat sering batal mesan sekarang beda sangat cepat nyaman moga depan lebih baik atau minimal tahan capai sekarang terima kasih,5,77, 20/11/2024, Lukas Kerong N. (Luke),Positif
driver selalu jauh padahal yang dekat guna fitur prioritas pengaruh sekali driver batal coba aplikasi malah langsung tanpa banyak drama,1,15, 15/11/2024, Syizuril,Negatif
sangat kecewa utama bagi gocar driver bahkan hina guna fitur gocar hemat padahal sudah bawa aplikasi padahal kalau mau kadang beri tips sedikit luar aplikasi karena tahu ongkos segitu tidak masuk akal saya harap pihak gojek tegur driver-nya khusus wilayah palembang sumatera selatan km12,1,3, 22/11/2024, Ryuzaki Nordwand,Negatif
kecewa goride hemat reguler tetap tidak beda harus reguler motor mesin cc atas vario pcx nmax hemat kategori cc bawah bayar lebih reguler motor datang motor kecil serius sempit sekali pesan gocar sedang buru buru kena macet jadi beri kategori motor jelas,2,8, 13/11/2024, Muhammad Bayu pramudita,Negatif
gopaylater pernah beri notifikasi bayar lalu whatsapp notifikasi aplikasi bayar denda lebih gopaylater saya guna 50 ribu sendiri denda lambat satu hari karena info notifikasi apabila tagih guna tahu baru tahu masuk aplikasi tiba tiba ada info lambat bayar itu jadi kali,1,24, 09/11/2024, Cantika Anisyav,Negatif
gojek sekarang makin buruk cari driver dapat padahal tidak batal pesan tunggu menit pesan namun hasil sama tambah banyak bug ingin mes makan goride,1,3, 07/11/2024, Khafa Fitri riano,Negatif
untuk goride perlu pisah hemat yang comfort percuma tidak perhati pihak gojek alam pesan comfort motor yang datang beda plat nomor beda jenis masuk kategori hemat lebih perhati khusus driver goride selamat atas segala,4,51, 25/10/2024, Bagus Tri Sukma,Positif
kadang lama cari drivernya malah pernah dapat malam aplikasi kadang suka lot mohon baik saya selalu dapat driver sudah pilih harga lebih mahal terima kasih,4,4, 12/11/2024, Tiani Putri29,Positif
dong gps nya buat lebih akurat pesan mana dapetnya mana sering driver muter muter untung tidak berapa baik aplikasi baru update terus izin lokasi sudah aktif pesan sini malah dapet mobil mayor padahal stasiun senen banyak driver nya segitu ambil prioritas baik,3,12, 08/11/2024, ydn99 bag,Netral
aplikasi pesan ojek ojek kalau suruh tunggu tetap akan gojek terus fitur faster search tidak guna sekali dapat malah jauh sekali km,1,3, 11/11/2024, Farshad Ali Rachman,Negatif
apa sih aplikasi tiba tiba banget driver nya ngechat sesuai aplikasi padahal lagi diam buka aplikasi aneh sekali terus sering sekali driver minta ongkos lebih bahkan kali lipat pernah jadi naik gocar terus bawa satu koper driver nya minta ongkos kali lipat gila aplikasi terima driver seperti moga depan baik siapa punya aplikasi kalau ya paksa pindah aplikasi belah,2,1, 16/11/2024, April Harisandi,Negatif
paket gojek sekarang lebih mahal jadi malas diskon nya kecil ribu rupiah pelit terus pas mau pergi cek jarak google maps misal google km cek gojek jadi km jauh sekali cek di aplikasi ojek malah sama pas google maps dong baik susah kalau ongkos mahal mending beli motor,3,2, 19/11/2024, all trailer,Netral
parah akun bisa buka gara gara lupa pin minta bantu ada selesai baik lewat email maupun telepon top up nomor daftar gopay tetap masuk hasil,1,1, 17/11/2024, e lisa beth,Negatif
masa top up gopay masuk sih aplikasi padahal status mobile banking hasil bingung mau adu siapa kait dalam aplikasi ada customer service kendala tolong perhati masalah,2,1, 16/11/2024, Arie Wicaksono,Negatif
kali pesan gocar tengah jalan tuju lokasi jemput si driver bilang bawa tumpang minta batal padahal sedang buru buru kalau tidak bilang awal jadi tidak erti bagaimana bisa terima order padahal sedang bawa tumpang padahal baru kali saja sudah buat ragu pesan gocar takut ini sudah tunggu tunggu malah minta cancel,4,1, 30/10/2024, K S,Positif
kecewa sekali belum beri rating sekarang sangat muas benar tahu apa masalah akun tapi tiba tiba begitu mau pesan apa bisa terus klik bantu mau ngobrol customer service nya susah responsif sekali tangan salah harga bagai langgan kecewa tiba tiba akun dapat aktivitas tidak biasa padahal akun gojek sudah lama perhati masalah lama lama jadi tidak jelas aplikasi,5,38, 18/11/2024, safira yunita,Positif
halo gojek hari sangat kesal aplikasi kalian order order sendiri aplikasi kalian masalah apa benar baru aplikasi aplikasi nya jalan sendiri sudah telepon pusat gojek jakarta tidak solusi kata bisa batal pada akhir tetap bayar yang saya bayar tidak sedikit,1,2, 17/11/2024, febby mutiara,Negatif
evaluasi driver gocar utama gocar biasa cari driver susah batal pihak bagus gocar comfort prioritas banyak batal pihak,3,1, 03/11/2024, Yogi Zaenal,Netral
mau ketik kode promo tidak melulu kata tukar kode mohon maaf rasa usaha belum hasil kenapa kata tukar akhir voucher kode sudah habis solusi rasa saya dapat,2,1, 18/11/2024, M. Helmy Zakaria,Negatif
langgan goride jarak pendek akhir akhir tidak nyaman rekomendasi driver jarak jemput sangat jauh hampir sama jarak antar jemput seluruh rugi bahan bakar waktu tunggu,4,79, 11/10/2024, Ujang Sobari,Positif
suka guna gojek harga gocar hujan langsung naik kali lipat sangat masuk akal dulu kalau jarang guna gojek vouchernya sampai lebih pas sering guna voucher jadi hilang ada satu tahun sangat kecewa lalu kalau driver goride kalau kemudi lebih aman jangan potong jalan enak ada rasa bahaya beri bintang kasihan tingkat latih driver sangat kecewa gojek sekarang,1,1,19/11/2024, Izzan Maulana,Negatif
baru aplikasi jadi ngelag banyak bug tambah alamat baru atur respons aplikasi pesan makan jarak antar menu sangat jauh buka pilih menu tidak muncul popup biasa tekan tutup tidak ada respons saat tekan dari menu restoran halaman awal tidak harus force close lebih perangkat saya huawei nova t,2,132, 15/10/2024, Danar Analengpe,Negatif
baru makin lambat performa bolak balik bisa klik masuk halaman baru putar kadang update peta driver jalan baik gofood maupun goride mohon baik sistem bayar lambat,3,42, 26/10/2024, Annas Aufa,Netral
unduh aplikasi ulang ponsel ter reset empat angka kode verifikasi masuk hasil salah kirim kode ulang kirim tetap salah beberapa kali akhir bisa dan tunggu menit bagaimana ada butuh desak tunggu menit akhir ganti aplikasi,1,4, 04/11/2024, d gie,Negatif
sekarang tarif mahal begitu banyak promo promo laku kalau bayar pakai kartu kredit padahal langgan gojek banyak tidak milik kartu kredit jadi banyak promo hanya laku guna kartu kredit percuma terus kalau pesan gocar jarak jauh sering tolak drivernya bagai alas,2,15, 02/11/2024, Fajar Nugroho,Negatif
saran usah keluar banyak promo percuma driver mau jemput pernah driver keluh pakai promo usah buang uang pasang iklan sana sini buat marketing ganggu sekarang driver sangat susah cari pas hampir semua batal enak padahal bilang mohon tunggu saya pesan jam pagi jakarta tidak ada respons padahal bukan jam sibuk harus aplikasi muncul driver memang sedia,1,19, 10/11/2024, Andrew Kristianto,Negatif
suka banget aplikasi banding kenapa makin kesini banyak ketemu driver marah marah terus banyak ramah padahal minta itu tunggu menit sudah protes demonstrasi tidak sekali marah sampai agak trauma jadi ganti aplikasi lain mungkin lebih edukasi para drivernya,2,2, 15/11/2024, arsblaafrah,Negatif
aplikasi gojek bagus cuma driver nya kaya nama promo apa konsumen pakai driver cepat ambil order mentang mentang konsumen pakai promo yang sedia gojek malah abai lama menit kali driver malah batal saja sopan sangat kecewa langgan,1,12, 03/11/2024, Anggara Putra_Zaini,Negatif
bukan gimana makin kesini makin susah buat cari driver pakai fitur ekstra baru dapet driver kalau ekstra mana mahal banget gak mampu pesan drivernya cancel terus bikin malas pakai gojek,2,6, 03/11/2024, Dewa Nyoman Suandia,Negatif
drivernya banyak malas alas terlalu jauh macet bilang gapapa tunggu ken cancel pernah driver yang tidak mau jemput tapi tidak mau cancel alas gak cancel,1,13, 07/11/2024, Keisha Laravince,Negatif
untuk manajemen gojek layan sepeda motor mitra sangat bagus cepat untuk layan mobil mitra buruk order nunggu lama nunggu beres order belum malah batal yang juga batal dapat alas jemput jauh kalau memang niat cari uang akan alas itu mohon ditindaklanjuti seperti,2,1, 19/11/2024, Achmad Buhori,Negatif
diskon ongkir gojek plus kok turun dari ribu jadi ribu padahal langgan januari mending pindah grab aja sama sama ribu pilih restoran ada diskon ongkirnya jauh lebih banyak grab semua restoran grab unlimitednya gojek cuma sedikit gojek plus itu kalau pindah lokasi antar restoran belum dapat gojek plus jadi hilang jadi dapat super partner,1,3, 10/11/2024, Adji Pangestu,Negatif
buruk biasa drivernya chat duluan baru langgan balas chat dapat driver chat terus tiba tiba batal konfirmasi lebih sekarang yang chat duluan chat balas nunggu lama tetap ada jelas driver nya tidak gerak padahal tidak macet sama sekali,1,5, 08/11/2024, Maria Beatrix,Negatif
driver seringkali batal order padahal jarak dekat kadang kali kena cancel itu driver lokasi jauh kadang jarak jemput bisa sampai km moga driver sedia jemput jarak jauh makin banyak lancar pihak manajemen sedikit masuk langgan tiap hari rutin guna ojek online beri diskon harga lebih jangkau banding langgan biasa,4,4, 12/11/2024, Erna Tan,Positif
gojek ya masalah peta baru saya input sesuai alamat kok jalan di aplikasi malah masuk rumah belah kasihan drivernya jadi nyasar putar alamat salah alamat tuju jauh perhati alamat rute bukan masalah sepele,3,1, 16/11/2024, Farasyta Erwanti,Netral
baru kali order langsung kali rencana mau pesan driver akhir ulang pas dua kali tetap tidak dapat akhir batal beberapa menit kemudian dapat telepon driver kalau sampai titik jemput langsung driver maaf sistem memang down saya salah bingung banget pas dapat jadi begini,3,1, 05/11/2024, Adiesty Chantika P,Netral
cukup bantu saat pergi butuh makan malas keluar kurang harga cukup mahal sering driver sesuai di aplikasi beda orang beda kendara pakai seragam gojek pakai jaket biasa lusuh pakai sandal jepit hujan tertib drivernya kalah gojek hijau belah yang lebih tertib,3,3, 13/11/2024, arriearri777,Netral
masalah sering jadi sedia fitur verifikasi satu kali pas ganti kode pin lalu email dong kalau nomor handphonenya aktif lupa kode pin baik pakai email lah kirim verifikasi satu kali email ganti kode pin ini masalah banyak orang lapor cuma gitugitu aja layan buruk padahal lampir pakai e kartu tanda duduk foto selfie pegang kartu tanda duduk tidak sesuai syarat padahal gopay sudah goplus dengar ini masalah banyak orang,3,2, 10/11/2024, Haikalkw222 2,Netral
gak maju harus pihak gojek mitra mal kait parkir biar drivernya perlu minta uang tambah banyak oknum driver minta uang tambah alas parkir lebih lebih uang parkir minta guna tidak perlu bohong itu selalu beri tip justru bohong itu jadi makin malas baik depan,2,2, 08/11/2024, luvyluvy baek,Negatif
cukup kecewa gocar order gocar hemat selalu batal driver driver sampai kali batal jadi tunggu lama gilir pakai gocar prioritas langsung apa guna gocar hemat seperti,1,4, 09/11/2024, Ismi Izza,Negatif
baru kali driver terima pesan langsung jalan jadi nego chat dulu biar kasih tambah uang baru jalan makan waktu banyak lagi kalau tempat jemput jauh tidak tahu pihak gojek terlalu banyak ambil bagi driver bagaimana tapi kurang nyaman ada untuk hindar jadi tiga kali saya mau pakai aplikasi dulu terima kasih,3,29, 06/11/2024, Arief K,Netral
aplikasi bagus sekarang kalau mau cari driver suka lama padahal buru buru kadang lokasi driver terlalu jauh driver suka tiba tiba cancel kabar walaupun pakai fitur prioritas tetap tidak baik banyak driver sekitar kenapa cari drivernya sangat lama juga pernah dapat driver tiba tiba marah tidak ramah,3,8, 18/11/2024, 07 - X8 - Callystha Aysel Aulia,Netral
